id,latitude,longitude,title,description,product,other_product,service,province,address,status,promotion,old_picture,picture
10031481,13.106361111111111,103.16652777777779,PTT AU CHAR 2,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],['Cash'],Battambang,"St. Anndong Chenh Village, Sangkat Au Char, Battambang",16h,[''],,2.png
10031773,11.568805555555555,104.83266666666667,PTT MOLYKA KRANG THOUNG,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],['Cash'],Phnom Penh,"#1998, Street Betong, Group 7, Kakab Village, Sangkat Kakab 2, Khan Por Senchey, Phnom Penh",16h,[''],,2.png
10031788,11.216638888888887,104.58794444444445,PTT Slap Laeng Road 41,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Kampong Speu,"Road 41, Preah Mlub Village, Pheary Meanchey Commune, Bor Seth District, Kompong Spue Province",16h,[''],,2.png
10031990,11.25775,104.82094444444444,PTT Tunle Bati,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Takeo,"National Road 2, Roleang Krerl Village, Trapeang Sap Commune, Bati District, Takeo Province",24h,[''],,2.png
10032354,11.510555555555555,104.66669444444445,PTT road 51,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Kandal,"National Road 51, Doumnak Ampil Village, Doumnak Ampil Commune, Ang Snoul District, Kandal Province",16h,[''],,2.png
10032399,11.051722222222223,106.09169444444444,PTT Bavit,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],['Cash'],Svay Rieng,"Trapeang Phlong Village, Sangkat Bati, Bavet City, Svay Rieng Province, Cambodia",16h,[''],,2.png
10032587,11.757027777777777,105.0201111111111,PTT KHSACH KANDAL,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Kandal,"St.381,Phum Preakta Kung,Khom Preakta Mak, Srok Khsach Kandal, Kandal Provice.",16h,[''],,2.png
10032306,11.898277777777777,105.67358333333334,PTT SOUNG,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Tboung Khmum,"National Road 7, Phum ChhreiBitMeas, Sangkat Soung, Krung Soung, Tboung Khmom Province",24h,[''],,2.png
10032708,11.475361111111111,104.95972222222223,PTT  KOH KRABEI,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Phnom Penh,"Champous Kaek Village, Sangkat Prek Thmey, Khan Chhba Ampov, Phnom Penh",16h,[''],,2.png
10032704,13.266805555555557,104.08994444444444,PTT DOM DEK II,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Siem Reap,"National Road No. 6, Khchas Village, Khchas Commune, Srok Sonikum, Siem Reap Province, Kingdom of Cambodia",16h,[''],,2.png
10032943,10.67461111111111,103.80041666666666,PTT Veal Renh,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",[''],['Cash'],Preah Sihanouk,"#No. National Road Number 4, Phum Bantheay Prey, Khum Andong thmor, Srok Prey Nop, Sihanouk ville.",24h,[''],,2.png
10032355,11.586194444444445,104.67741666666667,PTT Road 51 WE RISE,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],['Cash'],Kampong Speu,"National Road 51, Wat Phnom Village, Phnom Toch Commune, Oudong District, Kampong Spue Province",16h,[''],,2.png
10032944,11.593472222222223,104.85125,PTT Asian Hope,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Phnom Penh,"Land Plot 1074, Batong Street, Sanrong Teav Village, Sangkat Krang Thnong, Khan Sen Sok, PP",16h,[''],,2.png
10032709,11.681541666666666,104.9214388888889,PTT Road 6A Lyong Phat Bridge,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Phnom Penh,"NR 6 A, Bak Kheng Leu Village, Sangkat Bak Kheng, Khan Chroy Changvor, PP",24h,[''],,2.png
10032710,11.085638888888889,104.50113888888889,PTT Tropeng Andek,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Takeo,"Street 41, Toul Khlong Vilage, O'saray Communce, Tram Kak District, Tekeo",16h,[''],,2.png
30076521,11.616944444444444,102.98419444444444,PTT Dorng Tung,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",[''],['Cash'],Koh Kong,"located road 48, Chi Meal Village, Andoung Tuek Commune, Botum Sakor District, Koh Kong Province",24h,[''],,2.png
10033986,11.500055555555555,105.06866666666666,PTT Phsar KorKi,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Kandal,"Located at national road No. 1, Slab Ta Aon Village, Kokir Commune, 
Kien Svay District, Kandal Province",16h,[''],,2.png
10034008,12.473333333333333,104.36994444444444,PTT Kro Kor,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Pursat,"Located at national road No. 5, Kbal Domrei Village, Ansa Chambak Commune, 
Krakor District, Pursat Province",24h,[''],,2.png
10034077,11.52938888888889,104.94411111111111,PTT Niroth,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],['Cash'],Phnom Penh,"located at street 351 (Trong Morn),​ Ta Ngov Village, Sangkat Nirouth, 
Khan Chbar Ampov, Phnom Penh",16h,[''],,2.png
10033884,10.647333333333332,104.19266666666667,PTT KAMPOT OUT CITY,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Kampot,"located at National Road 3, Kep Thmey Village, Sangkat Boeung Touk, Bokor Municipal, 
Kampot Province",16h,[''],,2.png
10034109,10.537527777777777,104.32530555555554,PTT Domnak Chanour,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],['Cash'],Kep,"located at Plot land 1149, National Road 33, Damnak Chang’Auer Village, Sangkat 
Prey Thom, Kep Municipal, Kep Province",16h,[''],,2.png
10034007,13.116722222222222,103.20025,PTT Sree 100,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Battambang,"Located at Ou Ta Nob Village, Sangkat Kdol Doun Teav, Krong Battambang, 
Battambang Province",16h,[''],,2.png
10033836,12.07025,106.42122222222223,PTT Snoul,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Kratie,"Located at Kbal Snuol Village, Snuol Commune, Snuol District, Kratie Province",16h,[''],,2.png
10034915,10.5725,104.13961111111112,PTT Kampot Borkor,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Kampot,"located at National Road 3, Kep Thmey Village, Sangkat Boeung Touk, Bokor Municipal, 
Kampot Province",16h,[''],,2.png
30077267,13.520194444444446,103.01869444444445,PTT Mongkol Borie,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Banteay Meanchey,"Located at Chumteav Village, Russey Kraok Commune, Mongkol Borei District, Banteay Meanchey Province",16h,[''],,2.png
10034962,12.481416666666666,105.12058333333333,PTT Kompong Thmor,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Kampong Thom,"Trapeang Svay Village, Balang Commune, Baray District, Kampong Thom Province,",16h,[''],,2.png
10043893,11.49886111111111,105.339,PTT Krung Prey Veng,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Prey Veng,"National Road 11, Ekream Village, Sangkat Cheung Teok, Prey Veng Municipal, Prey Veng Province",16h,[''],,2.png
10035075,11.552027777777779,104.90558333333334,PTT Toul Svay Prey,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],['Cash'],Phnom Penh,"land plot No. 287 Street 205 corner Street 364 Village 5 Sangkat Toul SvayPrey 2, Khan Boeung Keng Kang, Phnom Penh",16h,[''],,2.png
10035074,10.84063888888889,104.46211111111111,PTT Chhuk Commune,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Kampot,"land plot 274 National Road No. 3, Chhue Teal Village, Chhouk Commune, Chhouk District, Kampot Province",16h,[''],,2.png
10035079,11.57268611111111,104.84128055555556,PTT Staion Road 105K,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",[''],['Cash'],Phnom Penh,"#484 Street 105K Troung Morn Village, Sangkat Krang Thnong, Khan Sen Sok, Phnom Penh",24h,[''],,2.png
10034985,13.242083333333332,103.09686111111111,PTT Tmor Koul II,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Battambang,"plot land No. 12, Kaksekam Village, Tapuung Commune, Thmor Kol District, Battambang Province",24h,[''],,2.png
10034963,11.601011111111111,105.4162,PTT Svay Autor,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Prey Veng,"plot land No. 14101001-0599 and 14101001-0600, National Road No. 8, Svay Antor 1 Village, Svay Antor Commune, Svay Antor District, Prey Veng Province",16h,[''],,2.png
30078128,11.494361111111111,104.86333333333333,PTT Loung Mea,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],['Cash'],Phnom Penh,"Plot Land No. 305, Prey Sor Street, Brakar Village, Sangkat Prey Sor, Khan Dangkor, Phnom Penh",16h,[''],,2.png
10035118,10.593861111111112,103.56577777777777,PTT O'Tress,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],['Cash'],Preah Sihanouk,"Chom Noat Ream village, Bet Trang commune, Prey Nob distrct, Sihanouk Ville, Cambodia",16h,[''],,2.png
10034777,11.038194444444445,106.00544444444445,PTT Chi Phou,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",[],"['Fleet card', 'Cash']",Svay Rieng,"Road # 1, Chrey Thom Village, Prey Angkunh District, Bavet City, Svay Rieng Province",24h,[],2.png,2.png
30075518,13.095805555555556,103.19730555555556,PTT Battambong City,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Battambang,"Road #02 Kompong Krobey Village Sangkat Svay Por, Battambang City.Battambang Provinice",24h,[''],,2.png
